"","pawsid","slackDomain","filename","timestamp","exercise","task","totalscore","chunk"
"146","wguill5","isds1102s4workspace","wguill5_e2a_1553530817962.xlsx","2019-03-25 16:20:45","e2","a","66.6666666667","e2a"
"147","wguill5","isds1102s4workspace","wguill5_e2b_1553530977642.xlsx","2019-03-25 16:23:24","e2","b","80.0","e2b"
"148","wguill5","isds1102s4workspace","wguill5_e2b_1553531006310.xlsx","2019-03-25 16:23:51","e2","b","80.0","e2b"
"149","gcoole1","isds1102spr19",NA,NA,NA,NA,NA,"NANA"
"150","cconr14","isds1102spr19","cconr14_e1a_1553099730142.xlsx","2019-03-20 16:35:54","e1","a","100.0","e1a"
"151","cconr14","isds1102spr19","cconr14_e1b_1553100427805.xlsx","2019-03-20 16:47:32","e1","b","100.0","e1b"
"152","cconr14","isds1102spr19","cconr14_e1c_1553102495876.xlsx","2019-03-20 17:22:00","e1","c","75.8333333333","e1c"
"153","cconr14","isds1102spr19","cconr14_e1d_1553103323268.xlsx","2019-03-20 17:35:47","e1","d","100.0","e1d"
"154","cconr14","isds1102spr19","cconr14_e2a_1553120240229.xlsx","2019-03-20 22:17:44","e2","a","100.0","e2a"
"155","cconr14","isds1102spr19","cconr14_e2b_1553184715435.xlsx","2019-03-21 16:12:19","e2","b","100.0","e2b"
"156","tkielm1","isds1102spr19","tkielm1_e1a_1550446183396.xlsx","2019-02-17 23:29:59","e1","a","93.75","e1a"
"157","tkielm1","isds1102spr19","tkielm1_e1a_1550447024034.xlsx","2019-02-17 23:43:58","e1","a","93.75","e1a"
"158","tkielm1","isds1102spr19","tkielm1_e1b_1550448750371.xlsx","2019-02-18 00:12:46","e1","b","100.0","e1b"
"159","tkielm1","isds1102spr19","tkielm1_e1c_1550451706633.xlsx","2019-02-18 01:02:02","e1","c","90.8333333333","e1c"
"160","tkielm1","isds1102spr19","tkielm1_e1d_1550452829544.xlsx","2019-02-18 01:20:44","e1","d","100.0","e1d"
"161","tkielm1","isds1102spr19","tkielm1_e2a_1553305171969.xlsx","2019-03-23 01:39:59","e2","a","100.0","e2a"
"162","tkielm1","isds1102spr19","tkielm1_e2a_1553391222597.xlsx","2019-03-24 01:34:08","e2","a","100.0","e2a"
"163","tkielm1","isds1102spr19","tkielm1_e2a_1553469387244.xlsx","2019-03-24 23:16:53","e2","a","100.0","e2a"
"164","tkielm1","isds1102spr19","tkielm1_e2b_1553470525138.xlsx","2019-03-24 23:35:50","e2","b","100.0","e2b"
"165","tkielm1","isds1102spr19","tkielm1_e2c_1553479648705.xlsx","2019-03-25 02:07:54","e2","c","83.3333333333","e2c"
"166","tkielm1","isds1102spr19","tkielm1_e2a_1553480571954.xlsx","2019-03-25 02:23:17","e2","a","100.0","e2a"
